Recommendation ID,Pillar,Recommendation Category,Type,Recommendation,Persona Fit,Context Fit,Goal Fit,Barrier Fit,Exclude If,Recommendation Strength,Notes / Rationale
MW013,Mental Wellness,motivation_behavior_change,dont,Avoid waiting to feel motivated before taking action.,shielded_turtle; watchful_deer,fitness_beginner; stress_high,goal_consistency_discipline,barrier_low_motivation; barrier_starting_difficulty,exclude_none,core,Action can create motivation.
MW014,Mental Wellness,motivation_behavior_change,mindset_shift,Small actions count when they keep the system alive.,shielded_turtle,time_under_10_min; stress_high,goal_consistency_discipline; goal_sustainable_routines,barrier_low_activation_energy; barrier_starting_difficulty,exclude_none,core,Validates low-friction progress.
MW015,Mental Wellness,motivation_behavior_change,dont,Avoid dismissing small wins because they feel too easy.,shielded_turtle; steady_elephant,fitness_beginner; stress_high,goal_body_confidence; goal_consistency_discipline,barrier_low_activation_energy; barrier_lack_of_consistency,exclude_none,core,Small wins create momentum.
MW016,Mental Wellness,self_talk,dont,"Avoid shame-based language about food, exercise, or missed habits.",watchful_deer; shielded_turtle,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_low_motivation; barrier_emotional_eating_cravings,exclude_none,core,Language shapes adherence.
MW017,Mental Wellness,self_talk,coach_note,Use non-shaming language with emotionally sensitive or low-activation users.,watchful_deer; shielded_turtle,stress_high; fitness_beginner,goal_mental_calm; goal_sustainable_routines,barrier_low_motivation; barrier_starting_difficulty,exclude_none,conditional,Coach tone directly affects adherence.
MW018,Mental Wellness,confidence_building,do,"Build confidence through repeatable action, not comparison.",watchful_deer; shielded_turtle,fitness_restarting; stress_high,goal_body_confidence; goal_consistency_discipline,barrier_gym_anxiety; barrier_low_motivation,exclude_none,core,Self-efficacy grows through repeated proof.
MW019,Mental Wellness,confidence_building,dont,Avoid comparing your pace with advanced users.,watchful_deer; pack_wolf,fitness_beginner; fitness_restarting,goal_body_confidence; goal_return_to_fitness,barrier_gym_anxiety; barrier_low_motivation,exclude_none,core,Comparison distorts expectations.
MW020,Mental Wellness,anxiety_overthinking,dont,Avoid obsessive metric tracking if it increases anxiety.,watchful_deer,stress_high,goal_mental_calm,barrier_low_motivation,exclude_high_anxiety_overtracking,core,"Tracking should support action, not pressure."
MW021,Mental Wellness,anxiety_overthinking,dont,Avoid over-planning if planning becomes a substitute for action.,curious_fox; watchful_deer,stress_high,goal_consistency_discipline,barrier_lack_of_consistency; barrier_starting_difficulty,exclude_none,supporting,Planning should lead to action.
MW022,Mental Wellness,anxiety_overthinking,do,Use reflection to identify triggers without judging yourself.,curious_fox; watchful_deer,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_lack_of_consistency; barrier_work_stress,exclude_high_anxiety_overtracking,optional,Reflection helps when non-judgmental.
MW023,Mental Wellness,burnout_prevention,mindset_shift,"Treat self-care as support, not indulgence.",steadfast_bear; watchful_deer,stress_high; work_desk_based,goal_mental_calm; goal_stress_reduction,barrier_work_stress,exclude_none,supporting,Reduces guilt around recovery.
MW024,Mental Wellness,burnout_prevention,dont,Avoid glorifying burnout-based productivity.,steadfast_bear; steady_elephant,stress_high; work_desk_based,goal_stress_reduction; goal_overall_health,barrier_work_stress,exclude_none,supporting,Burnout framing undermines wellness.
MW025,Mental Wellness,burnout_prevention,do,Use planned recovery breaks during demanding work periods.,steadfast_bear; steady_elephant,work_desk_based; stress_high,goal_stress_reduction; goal_energy,barrier_work_stress,exclude_none,supporting,Prevents exhaustion from accumulating.
MW026,Mental Wellness,social_support_boundaries,do,Use gentle accountability if support improves consistency.,pack_wolf; watchful_deer,support_some; support_strong,goal_consistency_discipline,barrier_low_motivation; barrier_lack_of_consistency,exclude_none,optional,Support works best when not shame-based.
MW027,Mental Wellness,social_support_boundaries,dont,Avoid public accountability too early if it creates shame.,watchful_deer; shielded_turtle,support_strong; environment_group_classes,goal_body_confidence; goal_consistency_discipline,barrier_gym_anxiety; barrier_low_motivation,exclude_none,conditional,Premature pressure can increase avoidance.
MW028,Mental Wellness,mindfulness_reflection,do,Use mindfulness only if it feels supportive rather than frustrating.,curious_fox; watchful_deer,stress_moderate; stress_high,goal_mental_calm; goal_stress_reduction,barrier_lack_of_knowledge,exclude_none,optional,Mindfulness is useful but should not be forced.
MW029,Mental Wellness,work_lifestyle_mental_wellness,do,Use flexible routines during major life transitions.,steadfast_bear; shielded_turtle,lifestyle_caregiving; work_travel_heavy; stress_high,goal_sustainable_routines; goal_mental_calm,barrier_family_responsibilities; barrier_travel_schedule_disruption,exclude_none,conditional,High-disruption phases need adaptable systems.
MW030,Mental Wellness,professional_support_escalation,safety_guidance,Seek professional support if stress or emotional distress becomes persistent.,all_personas,stress_high,goal_mental_calm; goal_stress_reduction,barrier_work_stress; barrier_low_motivation,exclude_none,conditional,Persistent distress may require support beyond self-guided wellness.
SLP031,Sleep & Recovery,sleep_environment,environment_change,Use white noise or earplugs if noise disrupts sleep.,all_personas,sleep_quality_poor,goal_sleep_improvement,barrier_poor_sleep,exclude_none,optional,Helpful only when environmental noise is a real sleep barrier.
NUT031,Nutrition,nutrition_foundations,do,Use meal tracking only if it improves clarity without stress.,steady_elephant; curious_fox,fitness_intermediate; fitness_consistent,goal_fat_loss; goal_consistency_discipline,barrier_lack_of_knowledge,exclude_high_anxiety_overtracking; exclude_emotional_eating_extreme_restriction,optional,Tracking is preference-dependent and should not increase anxiety.
FIT031,Physical Activity,workout_consistency,do,Use a wearable or step counter only if it motivates you.,steady_elephant; curious_fox,activity_sedentary; activity_light,goal_energy; goal_consistency_discipline,barrier_low_motivation,exclude_high_anxiety_overtracking,optional,Wearables help some users but are not required for progress.
MW031,Mental Wellness,mindfulness_reflection,do,Use journaling if it helps you process thoughts calmly.,watchful_deer; curious_fox,stress_high; stress_moderate,goal_mental_calm; goal_stress_reduction,barrier_work_stress,exclude_high_anxiety_overtracking,optional,Journaling is useful for some users but should not become overanalysis.
SLP032,Sleep & Recovery,wind_down_routine,do,Use calming audio or a sleep app only if it helps you unwind.,curious_fox; watchful_deer,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_mental_calm,barrier_poor_sleep; barrier_work_stress,exclude_high_anxiety_overtracking,optional,Audio tools help some users but should not become another tracking burden.
NUT032,Nutrition,flexible_nutrition,do,Try one new healthy recipe weekly if variety keeps you engaged.,curious_fox,meal_control_self_prepared; meal_control_mixed,goal_sustainable_routines; goal_overall_health,barrier_lack_of_consistency,exclude_none,optional,Recipe variety supports engagement for novelty-seeking users.
